"url","status","finalUrl","indexable","templateType","title","canonical","robots","h1Count","jsonldCount"
"https://thenitishkr.in/intelligence-himachal-pradesh-scam","200","https://thenitishkr.in/intelligence-himachal-pradesh-scam","True","intelligence-case","Himachal Pradesh Scam / State-Level Failure Pattern | Intelligence | thenitishkr","https://thenitishkr.in/intelligence-himachal-pradesh-scam","index, follow, max-image-preview:large","1","1"
"https://thenitishkr.in/intelligence-letters-emails","200","https://thenitishkr.in/intelligence-letters-emails","True","intelligence-case","Letters and Emails / Official Communication Trail | Intelligence | thenitishkr","https://thenitishkr.in/intelligence-letters-emails","index, follow, max-image-preview:large","1","1"
"https://thenitishkr.in/intelligence-meity-digital-governance","200","https://thenitishkr.in/intelligence-meity-digital-governance","True","intelligence-case","Follow the Data | India Under Critical Surveillance Case Study","https://thenitishkr.in/intelligence-meity-digital-governance","index, follow, max-image-preview:large","1","1"
"https://thenitishkr.in/intelligence-national-audit-financial-investigation","200","https://thenitishkr.in/intelligence-national-audit-financial-investigation","True","intelligence-case","National Audit / Financial Investigation | Intelligence | thenitishkr","https://thenitishkr.in/intelligence-national-audit-financial-investigation","index, follow, max-image-preview:large","1","1"
"https://thenitishkr.in/intelligence-ndma-disaster-governance","200","https://thenitishkr.in/intelligence-ndma-disaster-governance","True","intelligence-case","The Empty Vault | NDMA Disaster-Fund Governance Case Study","https://thenitishkr.in/intelligence-ndma-disaster-governance","index, follow, max-image-preview:large","1","1"
"https://thenitishkr.in/intelligence-niti-aayog-certification-funds","200","https://thenitishkr.in/intelligence-niti-aayog-certification-funds","True","intelligence-case","NITI Aayog / Certification &amp; Funds | Intelligence | thenitishkr","https://thenitishkr.in/intelligence-niti-aayog-certification-funds","index, follow, max-image-preview:large","1","1"
"https://thenitishkr.in/intelligence-odf-false-justification","200","https://thenitishkr.in/intelligence-odf-false-justification","True","intelligence-case","The Sanitation Mirage | ODF False Justification Case Study","https://thenitishkr.in/intelligence-odf-false-justification","index, follow, max-image-preview:large","1","1"
"https://thenitishkr.in/intelligence-pmo-grievance","200","https://thenitishkr.in/intelligence-pmo-grievance","True","intelligence-case","PMO Grievance / Forwarding Without Remedy | Intelligence | thenitishkr","https://thenitishkr.in/intelligence-pmo-grievance","index, follow, max-image-preview:large","1","1"
"https://thenitishkr.in/intelligence-rti-missing-answers","200","https://thenitishkr.in/intelligence-rti-missing-answers","True","intelligence-case","RTI / Missing Answers | Intelligence | thenitishkr","https://thenitishkr.in/intelligence-rti-missing-answers","index, follow, max-image-preview:large","1","1"
"https://thenitishkr.in/intelligence-sir-constitutional-scam","200","https://thenitishkr.in/intelligence-sir-constitutional-scam","True","intelligence-case","SIR Was Necessary | The Process Was Unconstitutional","https://thenitishkr.in/intelligence-sir-constitutional-scam","index, follow, max-image-preview:large","1","1"
"https://thenitishkr.in/media","200","https://thenitishkr.in/media","True","core-page","Nitish Kumar Press Coverage | thenitishkr Media Archive","https://thenitishkr.in/media","index, follow, max-image-preview:large","1","4"
"https://thenitishkr.in/privacy-policy","200","https://thenitishkr.in/privacy-policy","True","legal","Privacy Policy | thenitishkr.in","https://thenitishkr.in/privacy-policy","index, follow, max-image-preview:large","1","2"
"https://thenitishkr.in/terms","200","https://thenitishkr.in/terms","True","legal","Terms and Conditions | thenitishkr.in","https://thenitishkr.in/terms","index, follow, max-image-preview:large","1","2"
